Year,Date_of_statistics,Tested_with_result,Tested_positive
20,6,3,0
20,6,210,0
20,6,209,0
20,6,245,1
20,6,227,0
20,6,100,0
20,6,8,0
20,6,300,1
20,6,224,0
20,6,198,3
20,6,200,1
20,6,141,1
20,6,84,0
20,6,17,0
20,6,304,2
20,6,280,0
20,6,249,0
20,6,274,0
20,6,237,0
20,6,104,0
20,6,33,0
20,6,366,0
20,6,309,0
20,6,210,0
20,6,277,0
20,6,195,0
20,6,117,0
20,6,26,0
20,6,396,0
20,6,380,0
20,7,332,0
20,7,299,0
20,7,237,0
20,7,163,0
20,7,36,0
20,7,472,1
20,7,342,1
20,7,388,0
20,7,325,1
20,7,320,0
20,7,202,0
20,7,35,0
20,7,466,0
20,7,333,0
20,7,351,0
20,7,422,0
20,7,460,1
20,7,269,1
20,7,67,0
20,7,540,0
20,7,524,0
20,7,496,1
20,7,528,3
20,7,520,2
20,7,350,2
20,7,76,0
20,7,588,2
20,7,603,1
20,7,582,2
20,7,418,5
20,7,346,5
20,8,187,0
20,8,201,5
20,8,519,6
20,8,480,7
20,8,511,6
20,8,476,9
20,8,483,8
20,8,319,5
20,8,239,7
20,8,586,6
20,8,523,9
20,8,485,7
20,8,597,14
20,8,719,13
20,8,571,7
20,8,423,5
20,8,697,7
20,8,691,17
20,8,739,8
20,8,830,10
20,8,750,4
20,8,682,4
20,8,466,4
20,8,848,3
20,8,988,3
20,8,1011,2
20,8,939,7
20,8,917,5
20,8,636,1
20,8,512,4
20,8,821,6
20,9,841,8
20,9,985,6
20,9,941,3
20,9,919,10
20,9,659,9
20,9,709,17
20,9,946,17
20,9,971,35
20,9,908,20
20,9,942,20
20,9,955,36
20,9,737,22
20,9,665,29
20,9,966,37
20,9,936,49
20,9,934,43
20,9,948,59
20,9,914,61
20,9,757,65
20,9,786,71
20,9,976,77
20,9,1043,71
20,9,1034,77
20,9,1053,88
20,9,1094,96
20,9,1068,82
20,9,885,94
20,9,1054,88
20,9,1070,99
20,9,1149,80
20,10,1156,75
20,10,1139,92
20,10,1045,100
20,10,709,90
20,10,1559,176
20,10,1585,163
20,10,1737,144
20,10,1634,146
20,10,1651,134
20,10,1200,103
20,10,1175,117
20,10,1494,162
20,10,1556,166
20,10,1505,149
20,10,1606,105
20,10,1679,108
20,10,1309,117
20,10,1169,108
20,10,1615,135
20,10,1555,118
20,10,1519,95
20,10,1640,148
20,10,1461,107
20,10,1062,139
20,10,768,62
20,10,1487,76
20,10,1533,99
20,10,1274,72
20,10,1256,71
20,10,1114,104
20,10,651,56
20,11,554,50
20,11,1306,89
20,11,1069,77
20,11,1057,72
20,11,1001,60
20,11,945,61
20,11,608,45
20,11,526,38
20,11,1247,71
20,11,1284,73
20,11,1248,83
20,11,1183,73
20,11,976,58
20,11,645,40
20,11,558,39
20,11,1536,98
20,11,1325,95
20,11,1440,96
20,11,1371,109
20,11,1200,77
20,11,825,50
20,11,771,46
20,11,1608,109
20,11,1448,77
20,11,1453,90
20,11,1399,83
20,11,1329,77
20,11,830,66
20,11,821,61
20,11,1766,106
20,12,1822,121
20,12,1864,138
20,12,1736,134
20,12,1634,150
20,12,1008,98
20,12,1164,97
20,12,2132,207
20,12,2297,170
20,12,2576,192
20,12,2623,191
20,12,2596,244
20,12,1725,153
20,12,1693,118
20,12,2755,244
20,12,2766,262
20,12,2744,234
20,12,2512,223
20,12,2490,236
20,12,1880,180
20,12,1776,138
20,12,2781,271
20,12,2803,266
20,12,2919,214
20,12,2231,168
20,12,1668,179
20,12,1173,95
20,12,1281,128
20,12,2285,244
20,12,2382,221
20,12,2226,228
20,12,1658,176
21,1,1238,178
21,1,1578,160
21,1,1346,106
21,1,2205,243
